id,calories,proteins,fat,carbohydrate,name,kategori,image,kategori_kalori
1,280.0,9.2,28.4,0.0,Abon,Lemak,https://img-cdn.medkomtek.com/PbrY9X3ignQ8sVuj_LU9UXljyew=/0x0/smart/filters:quality(75):strip_icc():format(webp)/article/7g8ceHGDNMuttlBcXEl8d/original/099726800_1605161502-Mana-yang-Lebih-Sehat-Abon-Sapi-atau-Abon-Ayam-shutterstock_1361446550.jpg,Sedang
2,0.0,0.0,0.2,0.0,Agar-agar,Lemak,https://res.cloudinary.com/dk0z4ums3/image/upload/v1644389489/attached_image/manfaat-agar-agar-untuk-tubuh.jpg,Rendah
3,45.0,1.1,0.4,10.8,Akar tonjong ,Karbo,https://images.tokopedia.net/img/cache/200-square/product-1/2018/8/11/3052608/3052608_12e6762a-1a95-450b-8a7c-347a26dc3201_450_450.jpg,Rendah
4,37.0,4.4,0.5,3.8,Aletoge ,Protein,https://nilaigizi.com/assets/images/produk/produk_1577340236.jpg,Rendah
5,85.0,0.9,6.5,7.7,Alpukat ,Karbo,https://katakabar.com/assets/images/upload/news/medium_news_1594438184.jpeg,Rendah
6,99.0,4.6,1.0,18.0,Andaliman ,Karbo,https://cf.shopee.co.id/file/3c033b2480e951e2634909817e417218,Rendah
7,25.0,1.6,0.2,5.3,Andewi,Karbo,https://www.satuharapan.com/uploads/cache/news_77440_1518185146.jpg,Rendah
8,30.0,0.5,0.2,6.8,Anggur ,Karbo,https://cf.shopee.co.id/file/ed7f26c6de5f13ec39e9931263ade6b9,Rendah
9,126.0,3.4,7.9,10.3,Anyang sayur,Karbo,https://static.republika.co.id/uploads/images/inpicture_slide/anyang-_180520222511-425.jpg,Sedang
10,58.0,0.3,0.4,14.9,Apel,Karbo,https://asset.kompas.com/crops/smfd25xgXRE3HpMLb2aamPeulYM=/21x0:1476x970/1200x800/data/photo/2022/08/30/630d7ae5d041f.jpg,Rendah
11,57.0,0.5,0.4,12.8,Apel malang ,Karbo,https://pasarsegar.co.id/wp-content/uploads/2020/09/name-63-1.jpg,Rendah
12,37.0,0.8,0.5,8.3,Arbei,Karbo,https://asset.kompas.com/crops/NoCuCvNGfQG6_Ct04e7Vjcabjv4=/204x0:885x454/1200x800/data/photo/2020/06/25/5ef44bb002503.jpg,Rendah
13,98.0,3.9,2.6,14.8,Asinan Bogor ,Karbo,https://www.piknikdong.com/wp-content/uploads/2021/04/Resep-Asinan-Sayur-Bogor-Sederhana.jpg,Rendah
14,297.0,35.9,15.2,1.6,Sayap Crispy ,Protein,https://img-global.cpcdn.com/recipes/2ecb088a495ef73a/680x482cq70/ayam-goreng-kentucky-foto-resep-utama.jpg,Sedang
15,270.0,32.3,11.2,9.9,Ampela goreng,Protein,https://cdn1-production-images-kly.akamaized.net/MldE3BInsLHr9JgPKFlsYtmbV-E=/0x344:5472x3428/469x260/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3142898/original/027275800_1591175314-shutterstock_188934800.jpg,Sedang
16,298.0,34.2,16.8,0.1,Dada Crispy,Protein,https://awsimages.detik.net.id/community/media/visual/2021/07/07/kirim-pesan-unik-kfc-2_43.jpeg?w=1200,Sedang
17,286.0,32.1,16.1,1.1,Paha Crispy,Protein,https://img-global.cpcdn.com/recipes/d61db7c7021bcd27/680x482cq70/paha-kentucky-yummy-foto-resep-utama.jpg,Sedang
18,264.0,18.2,20.1,2.7,Ayam taliwang ,Lemak,https://asset.kompas.com/crops/-oAqlkfrKHaqebhytdtKz-JV6ls=/4x0:1000x664/750x500/data/photo/2020/12/22/5fe16c7655542.jpg,Sedang
19,473.0,45.2,26.3,13.9,Usus goreng,Protein,https://img-global.cpcdn.com/recipes/fa7c9443ce9efcb5/1200x630cq70/photo.jpg,Tinggi
20,113.0,17.6,4.2,0.0,Babat,Protein,https://awsimages.detik.net.id/community/media/visual/2022/05/26/resep-bacem-babat-sapi.jpeg?w=1200,Sedang
21,102.9,3.3,2.7,16.3,Bacang,Karbo,https://cdn1-production-images-kly.akamaized.net/dmeIqjoEQPYVHvwOwc32D8B7EcI=/1200x675/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/1495067/original/082497700_1486023784-bacang-fsui_wodpress.jpg,Sedang
22,272.0,8.7,6.7,44.1,Bakpia kue,Karbo,https://asset.kompas.com/crops/BZ6Z25Y0XcjtoHBInh10nGsMM2Q=/3x0:700x465/750x500/data/photo/2021/03/17/60514d8851d3e.jpeg,Sedang
23,76.0,4.1,2.5,9.2,Bakso ,Karbo,https://asset.kompas.com/crops/x6OULHa8pMi47UnvDTzf1j62ov4=/3x0:700x465/750x500/data/photo/2022/08/25/6306b48bb80a1.jpeg,Rendah
24,280.0,8.2,10.2,39.0,Bakwan,Karbo,https://i0.wp.com/resepkoki.id/wp-content/uploads/2019/04/Resep-Bakwan-Jagung-1.jpg?fit=1749%2C1920&ssl=1,Sedang
25,190.0,3.3,0.3,43.5,Kue Bantal,Karbo,https://cdn.idntimes.com/content-images/community/2020/11/kue-bantal-sumber-ig-at-terunededarementaram-e3a62b69fc2f582e3148201ce8d68802_600x400.jpg,Sedang
26,159.0,3.1,5.8,23.5,Barongko,Karbo,https://upload.wikimedia.org/wikipedia/commons/5/5e/Barongko_hendak_dimakan.jpg,Sedang
27,45.0,1.4,0.2,10.3,Bawang Bombay,Karbo,https://res.cloudinary.com/dk0z4ums3/image/upload/v1621837004/attached_image/berbagai-nutrisi-di-balik-manfaat-bombay.jpg,Rendah
28,39.0,1.5,0.3,0.2,Bawang Merah,Protein,https://cdn.shopify.com/s/files/1/0369/8321/0116/products/015_640x.jpg?v=1646380408,Rendah
29,95.0,4.5,0.2,23.1,Bawang Putih,Karbo,https://www.astronauts.id/blog/wp-content/uploads/2022/11/Manfaat-Bawang-Putih-Untuk-Kulit-yang-Tidak-Banyak-Tahu.jpg,Rendah
30,30.0,1.3,0.7,5.8,Bayam kukus,Karbo,https://img-global.cpcdn.com/recipes/ff942e133f5dc64e/680x482cq70/bayam-kukus-foto-resep-utama.jpg,Rendah
31,51.0,4.6,0.5,10.0,Bayam Merah,Karbo,https://d1vbn70lmn1nqe.cloudfront.net/prod/wp-content/uploads/2021/10/15060945/manfaat-bayam-merah-yang-jarang-diketahui-halodoc.jpg,Rendah
32,23.0,1.2,0.6,3.7,Bayam rebus,Karbo,https://img-global.cpcdn.com/recipes/5be8dc1e0002f811/1200x630cq70/photo.jpg,Rendah
33,36.0,3.5,0.5,6.5,Bayam segar,Karbo,https://mitalom.com/wp-content/uploads/2015/10/Gambar-Daun-Bayam.jpg,Rendah
34,102.0,3.7,6.7,6.9,Bayam tumis ,Karbo,"https://blue.kumparan.com/image/upload/fl_progressive,fl_lossy,c_fill,q_auto:best,w_640/v1601173915/chhxzj6dnkwkryigiyrl.jpg",Sedang
35,48.0,1.4,4.2,2.6,Bayam tumis santan,Lemak,https://img.kurio.network/FnRZ04iY18q6h7oJzzZDFZOD5Zk=/1200x1200/filters:quality(80)/https://kurio-img.kurioapps.com/21/04/07/2ab69e8a-370d-460a-89ac-0efadafee196.jpe,Rendah
36,300.0,24.0,20.7,4.5,Bebek goreng,Protein,https://asset.kompas.com/crops/y8jlET9Zwl-5iykdc5t58sS-_KY=/0x52:1000x719/750x500/data/photo/2020/07/14/5f0d253a6edd5.jpg,Sedang
37,65.0,1.1,5.2,3.5,Beberuk,Lemak,https://s.kaskus.id/images/2019/11/21/10218416_20191121013811.jpg,Rendah
38,258.0,10.6,9.5,32.5,Beef burger,Karbo,https://cdn.id9.site/burgerax/media/2020/09/beef-burger-e1644156606108.jpeg,Sedang
39,151.0,8.6,3.1,22.3,Beef teriyaki ,Karbo,https://www.masakapahariini.com/wp-content/uploads/2020/12/resep-beef-teriyaki-2-500x300.jpg,Sedang
40,132.0,9.8,1.1,20.7,Beef yakiniku ,Karbo,https://asset.kompas.com/crops/awoHyKStB8lI_yqs1PTI3VjIHsE=/78x42:958x629/750x500/data/photo/2022/12/08/6391613d09412.jpg,Sedang
