id,calories,proteins,fat,carbohydrate,name,kategori,kategori_kalori,cluster
1,280.0,9.2,28.4,0.0,Abon,Lemak,Sedang,2
2,0.0,0.0,0.2,0.0,Agar-agar,Lemak,Rendah,1
3,45.0,1.1,0.4,10.8,Akar tonjong ,Karbo,Rendah,1
4,37.0,4.4,0.5,3.8,Aletoge ,Protein,Rendah,1
5,85.0,0.9,6.5,7.7,Alpukat ,Karbo,Rendah,1
6,99.0,4.6,1.0,18.0,Andaliman ,Karbo,Rendah,1
7,25.0,1.6,0.2,5.3,Andewi,Karbo,Rendah,1
8,30.0,0.5,0.2,6.8,Anggur ,Karbo,Rendah,1
9,126.0,3.4,7.9,10.3,Anyang sayur,Karbo,Sedang,1
10,58.0,0.3,0.4,14.9,Apel,Karbo,Rendah,1
11,57.0,0.5,0.4,12.8,Apel malang ,Karbo,Rendah,1
12,37.0,0.8,0.5,8.3,Arbei,Karbo,Rendah,1
13,98.0,3.9,2.6,14.8,Asinan Bogor ,Karbo,Rendah,1
14,297.0,35.9,15.2,1.6,Sayap Crispy ,Protein,Sedang,0
15,270.0,32.3,11.2,9.9,Ampela goreng,Protein,Sedang,0
16,298.0,34.2,16.8,0.1,Dada Crispy,Protein,Sedang,0
17,286.0,32.1,16.1,1.1,Paha Crispy,Protein,Sedang,0
18,264.0,18.2,20.1,2.7,Ayam taliwang ,Lemak,Sedang,2
19,473.0,45.2,26.3,13.9,Usus goreng,Protein,Tinggi,0
20,113.0,17.6,4.2,0.0,Babat,Protein,Sedang,1
21,102.9,3.3,2.7,16.3,Bacang,Karbo,Sedang,1
22,272.0,8.7,6.7,44.1,Bakpia kue,Karbo,Sedang,2
23,76.0,4.1,2.5,9.2,Bakso ,Karbo,Rendah,1
24,280.0,8.2,10.2,39.0,Bakwan,Karbo,Sedang,2
25,190.0,3.3,0.3,43.5,Kue Bantal,Karbo,Sedang,1
26,159.0,3.1,5.8,23.5,Barongko,Karbo,Sedang,1
27,45.0,1.4,0.2,10.3,Bawang Bombay,Karbo,Rendah,1
28,39.0,1.5,0.3,0.2,Bawang Merah,Protein,Rendah,1
29,95.0,4.5,0.2,23.1,Bawang Putih,Karbo,Rendah,1
30,30.0,1.3,0.7,5.8,Bayam kukus,Karbo,Rendah,1
31,51.0,4.6,0.5,10.0,Bayam Merah,Karbo,Rendah,1
32,23.0,1.2,0.6,3.7,Bayam rebus,Karbo,Rendah,1
33,36.0,3.5,0.5,6.5,Bayam segar,Karbo,Rendah,1
34,102.0,3.7,6.7,6.9,Bayam tumis ,Karbo,Sedang,1
35,48.0,1.4,4.2,2.6,Bayam tumis santan,Lemak,Rendah,1
36,300.0,24.0,20.7,4.5,Bebek goreng,Protein,Sedang,0
37,65.0,1.1,5.2,3.5,Beberuk,Lemak,Rendah,1
38,258.0,10.6,9.5,32.5,Beef burger,Karbo,Sedang,2
39,151.0,8.6,3.1,22.3,Beef teriyaki ,Karbo,Sedang,1
40,132.0,9.8,1.1,20.7,Beef yakiniku ,Karbo,Sedang,1
41,116.0,11.9,4.9,6.1,Bekasam,Protein,Sedang,1
42,78.0,11.4,2.0,3.6,Bekasang,Protein,Rendah,1
43,36.0,0.4,0.4,8.8,Belimbing,Karbo,Rendah,1
44,145.0,1.2,0.4,34.2,Belitung talas kukus,Karbo,Sedang,1
45,417.0,25.9,19.4,32.0,Belut goreng,Karbo,Tinggi,0
46,55.0,1.4,0.2,12.8,Bengkuang,Karbo,Rendah,1
47,98.0,1.6,0.7,20.9,Bentul (Komba)  talas ,Karbo,Rendah,1
48,71.0,2.3,0.3,15.4,Bentul talas kukus,Karbo,Rendah,1
49,181.0,4.0,1.2,37.3,Beras Ketan Hitam kukus,Karbo,Sedang,1
50,166.0,3.8,1.0,34.4,Beras Ketan Hitam tape,Karbo,Sedang,1
51,163.0,3.0,0.4,35.7,Beras Ketan Putih kukus,Karbo,Sedang,1
52,172.0,3.0,0.5,37.5,Beras Ketan Putih tape,Karbo,Sedang,1
53,145.0,16.3,7.0,4.1,Betok wadi ,Protein,Sedang,1
54,154.0,3.0,4.5,25.5,Bihun Goreng ,Karbo,Sedang,1
55,381.0,6.1,3.9,80.3,Bihun goreng instan,Karbo,Tinggi,2
56,225.7,3.0,0.3,52.9,Bika Ambon ,Karbo,Sedang,1
57,458.0,6.9,14.4,75.1,Biskuit,Karbo,Tinggi,2
58,42.0,1.6,0.1,9.6,Bit,Karbo,Rendah,1
59,51.0,0.3,0.1,12.1,Biwah segar,Karbo,Rendah,1
60,119.0,4.4,3.5,18.3,Bongkrek (tempe bungkil),Karbo,Sedang,1
61,186.0,11.7,9.7,13.0,Botok lamtoro,Karbo,Sedang,1
62,249.0,3.4,0.4,58.0,Brem,Karbo,Sedang,1
63,400.0,4.0,0.7,95.3,Brondong ,Karbo,Tinggi,2
64,141.0,15.3,3.3,12.6,Brongkos,Protein,Sedang,1
65,23.0,0.8,0.2,5.2,Buah Atung,Karbo,Rendah,1
66,110.0,1.4,2.1,21.4,Buah kelenting ,Karbo,Sedang,1
67,38.0,1.5,0.2,7.5,Buah kelor,Karbo,Rendah,1
68,71.0,1.7,3.1,9.1,Buah Naga Merah ,Karbo,Rendah,1
69,56.0,0.8,1.0,10.9,Buah Naga Putih ,Karbo,Rendah,1
70,55.0,1.2,0.1,12.2,Buah negri segar,Karbo,Rendah,1
71,60.0,1.0,60.0,13.0,Bubur ,Lemak,Rendah,1
72,167.0,0.2,4.0,33.0,Bubur sagu,Karbo,Sedang,1
73,156.0,2.3,0.2,15.6,Bubur Manado,Karbo,Sedang,1
74,72.0,11.4,4.9,1.4,Bulgogi ,Protein,Rendah,1
75,30.0,2.2,0.2,6.4,Buncis rebus,Karbo,Rendah,1
76,42.0,2.0,1.1,6.1,Bunga turi segar,Karbo,Rendah,1
77,333.0,29.3,3.3,50.0,Bungkil Biji Karet,Karbo,Tinggi,0
78,336.0,37.4,13.0,30.5,Bungkil Kacang Tanah,Protein,Tinggi,0
79,368.0,23.0,15.0,40.0,Bungkil Kelapa,Karbo,Tinggi,0
80,106.0,4.4,6.3,7.9,Buntil ,Karbo,Sedang,1
81,141.0,4.4,10.2,8.0,Buntil daun talas,Lemak,Sedang,1
82,125.7,3.3,1.9,23.9,Buras ,Karbo,Sedang,1
83,367.0,15.9,6.2,61.8,Cabai merah kering,Karbo,Tinggi,2
84,36.0,1.0,0.3,7.3,Cabai merah segar,Karbo,Rendah,1
85,120.0,4.7,2.4,19.9,Cabai rawit segar,Karbo,Sedang,1
